status,Police,Space,mal_score,authors,Vampire,Demons,Sports,Romance,Music,Comedy,Yuri,SuperPower,SliceofLife,Harem,Josei,Fantasy,Cars,Horror,Shoujo,num_chap,Game,Adventure,ShoujoAi,GenderBender,Thriller,SciFi,Mystery,School,Kids,Magic,ShounenAi,Yaoi,genres,Drama,Samurai,mal_popularity,Historical,MartialArts,Action,Military,Parody,Seinen,Hentai,mal_ranking,title,mal_url,Shounen,Psychological,Mecha,synopsis,num_vol,Supernatural,Dementia,Ecchi,Doujinshi
Finished,0,0,7.11,"Mutsutake|Yuuji,Yuuji",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Ecchi, Romance, School, Harem, Seinen",0,0,5629,0,0,0,0,0,1,0,8000,Ore no Kanojo to Osananajimi ga Shuraba sugiru Ai,https://myanimelist.net/manga/45984/Ore_no_Kanojo_to_Osananajimi_ga_Shuraba_sugiru_Ai,0,0,0," As per title, this series will focus on Ai Fuyuumi.",1,0,0,1,0
Finished,0,0,7.07,"Matra,Milan",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Fantasy, Hentai, Harem",0,0,12018,0,0,1,0,0,0,1,N/A,Angelical Pendulum,https://myanimelist.net/manga/6972/Angelical_Pendulum,0,0,0," Another H-manga by Matra Milan, containing some action and, as to be expected, a lot of interaction between the characters.",2,0,0,0,0
Finished,0,0,7.37,"Okuda,Hitoshi",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,80,0,0,0,0,0,1,0,0,0,0,0,0,"Comedy, Drama, Fantasy, SciFi, Shounen, Harem",1,0,3375,0,0,0,0,0,0,0,4833,Tenchi Muyou! Ryououki,https://myanimelist.net/manga/855/Tenchi_Muyou_Ryououki,1,0,0," A spin-off of 1 and 2, follows the usual hijinx of the Tenchi gang, as well as throwing several new characters in the mix including a Ryoyko's clone, and Washu's other lab assistant.  (Source: ANN)",12,0,0,0,0
Finished,0,0,N/A,"Geni,Yuu",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Harem",0,0,45700,0,0,0,0,0,0,0,27677,"Techigai desu ga, Heroine desu.",https://myanimelist.net/manga/101439/Techigai_desu_ga_Heroine_desu,0,0,0,,1,0,0,0,0
Finished,0,0,7.28,"Hitsuji,Takako",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Ecchi, Romance, School, Harem",0,0,7430,0,0,0,0,0,0,0,5937,IS: Infinite Stratos - Sugar & Honey,https://myanimelist.net/manga/54577/IS__Infinite_Stratos_-_Sugar___Honey,0,0,0," The newest IS spinoff that stars Charlotte! This monthly webcomic is sure to show you more of her life that hasn't been shown in the light novels nor the anime. With stories that is as sweet and enticing as its title, you'll be wanting for more. Be sure to not to miss out on this serialization about the ever adorable Charlotte, Ichika and the others!  (Source: MU)",2,0,0,1,0
Finished,0,0,6.96,"Marimo|Kagisora,Tomiyaki|CHIHIRO|Hiyama,Daisuke|Ryuusui,Takafumi",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Romance, Harem",0,0,17437,0,0,0,0,0,0,0,9680,Ore no Kanojo to Osananajimi ga Shuraba sugiru Comic Anthology,https://myanimelist.net/manga/85832/Ore_no_Kanojo_to_Osananajimi_ga_Shuraba_sugiru_Comic_Anthology,0,0,0, An of by various mangaka.,1,0,0,0,0
Finished,0,0,7.69,Yamatogawa,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,"Hentai, Romance, Harem",0,0,2224,0,0,0,0,0,0,1,N/A,Tayu Tayu,https://myanimelist.net/manga/11811/Tayu_Tayu,0,0,0," When his parents decide to move overseas, Rei moves back into his hometown and reunites with his childhood friends, Midori and Shiho. Love starts to blossom between Midori and Rei, but is a normal relationship between the two possible with a town filled with sex-deprived college girls all lusting for Rei's cock?! Can Rei resist the siren call of virgin pussy and stay true to Midori? Or will lust tie him up and make him the playing for all the town girls?  (Source: Project-H)",1,0,0,0,0
Finished,0,0,7.20,"Marimo|Yuuji,Yuuji",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Romance, School, Harem, Seinen",0,0,10406,0,0,0,0,0,1,0,6863,Ore no Kanojo to Osananajimi ga Shuraba sugiru 4-koma,https://myanimelist.net/manga/35499/Ore_no_Kanojo_to_Osananajimi_ga_Shuraba_sugiru_4-koma,0,0,0," Spin-off of the popular light novel, follows in 4-koma version the spats between the honor student Kidou Eita, his ""handsome girlfriend"" Natsukawa Masuzu and his ""hyper active"" childhood friend Harusaki Chiwa.  (Source: MU)",2,0,0,0,0
Finished,0,0,6.59,Satoru,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,"Romance, Harem",0,0,17195,0,0,0,0,0,0,0,12897,Ore no Aneki wa Kioku Soushitsu: Sex tte Nani?,https://myanimelist.net/manga/100607/Ore_no_Aneki_wa_Kioku_Soushitsu__Sex_tte_Nani,0,0,0,,4,0,0,0,0
Finished,0,0,6.54,"Kagesaki,Yuna",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Ecchi, Fantasy, Romance, Shounen, Harem, Supernatural",0,0,9126,0,0,0,0,0,0,0,13189,Tama-nyan,https://myanimelist.net/manga/56517/Tama-nyan,1,0,0," Long ago a magical cat disguised as a human woman fell in love with a human man. It is said that during their time together they even had children. They say that afterwards, the magical cat dwelt happily as a human, that she ascended to the heavens and became a cat-god, and is even now watching over the world of cats and men.  Of those descendants, the cats of Cat Forest Town say that they have mysterious powers. The townsfolk care for the cats as their guardian deities, and the cats, too, have become attached to the humans.  (Source: MU)",Unknown,1,0,1,0
Finished,0,0,6.94,Sw,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Ecchi, School, Shounen, Harem",0,0,14044,0,0,0,0,0,0,0,9889,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Spin-off sareta Ken",https://myanimelist.net/manga/96104/Ore_ga_Ojousama_Gakkou_ni_Shomin_Sample_Toshite_Spin-off_sareta_Ken,1,0,0,,2,0,0,1,0
