status,title,mal_score,mal_ranking,num_chap,mal_popularity,num_vol,authors,mal_url
Finished,Sleeping Strega,9.00,24365,30,39796,3,"Huei,Nazuki|Mano,Mao",https://myanimelist.net/manga/89195/Sleeping_Strega
Finished,Sisfina,7.00,20755,15,39529,2,"Amei,Sumeru|Kuroi,Hiroki",https://myanimelist.net/manga/61483/Sisfina
Finished,Sensei-sama no Shiikugakari,N/A,N/A,Unknown,39625,1,"Hazawa,Kouichi|Ariko,Youichi",https://myanimelist.net/manga/73333/Sensei-sama_no_Shiikugakari
Finished,Sensei Shimai no Meroochi Shidou!,N/A,N/A,7,39772,1,"Hinata,Momo|Takaha,Shin",https://myanimelist.net/manga/87840/Sensei_Shimai_no_Meroochi_Shidou
Finished,Saimin♥Seitokai,3.00,N/A,7,39584,1,"Nanami,Yuuri|Yukirin",https://myanimelist.net/manga/67271/Saimin♥Seitokai
Finished,School Heaven: Love Ero Harem Momoiro Typhoon - Sakura no Hanayome,N/A,N/A,Unknown,39611,1,"Mizushima,Oonari|Maezono,Haruka|Bishop",https://myanimelist.net/manga/71285/School_Heaven__Love_Ero_Harem_Momoiro_Typhoon_-_Sakura_no_Hanayome
Finished,Sengoku Gakuen Harem,7.00,N/A,8,39578,1,"Katagiri,Hinata|Uehara,Ryou",https://myanimelist.net/manga/67155/Sengoku_Gakuen_Harem
Finished,Seima Change,5.50,N/A,4,39515,1,"Takahama,Tarou|Kagura,Youko",https://myanimelist.net/manga/60539/Seima_Change
Finished,Princess☆Senryou Gakuen,N/A,N/A,Unknown,39701,1,"Hazawa,Kouichi|Aizawa,Hiroshi",https://myanimelist.net/manga/82425/Princess☆Senryou_Gakuen
Finished,Saikyou no Haramase Onaho Kishidan: Kyokon ni Katenai Mesu-tachi no Zettai Chuusei Harem!,10.00,N/A,10,39927,1,"Ishii,Akira|Miel|Yuushin,Kazuki",https://myanimelist.net/manga/102167/Saikyou_no_Haramase_Onaho_Kishidan__Kyokon_ni_Katenai_Mesu-tachi_no_Zettai_Chuusei_Harem
