status,Police,Space,mal_score,authors,Vampire,Demons,Sports,Romance,Music,Comedy,Yuri,SuperPower,SliceofLife,Harem,Josei,Fantasy,Cars,Horror,Shoujo,num_chap,Game,Adventure,ShoujoAi,GenderBender,Thriller,SciFi,Mystery,School,Kids,Magic,ShounenAi,Yaoi,genres,Drama,Samurai,mal_popularity,Historical,MartialArts,Action,Military,Parody,Seinen,Hentai,mal_ranking,title,mal_url,Shounen,Psychological,Mecha,synopsis,num_vol,Supernatural,Dementia,Ecchi,Doujinshi
Finished,0,0,7.48,"Tsukigase,Yurino",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,", Fantasy, Historical, Romance, Harem",0,0,5705,1,0,0,0,0,0,0,3812,Ozmafia!!,https://myanimelist.net/manga/44669/Ozmafia,0,0,0," Fuka is thrown into an unknown land with no memory of her past. Not long after that, a strange silver-haired man suddenly points a sword at her, and the whole town is running about trying to escape. When the heroine is resigned to the prospect she is about to be killed, a helping hand is extended to her by...?  (Source: My Neo Romance Forum)",3,0,0,0,0
Finished,0,0,7.28,"Shiki,Seiichi",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,", Comedy, Romance, School, Harem, Supernatural",0,0,1225,0,0,0,0,0,0,0,5937,Aizawa-san Zoushoku,https://myanimelist.net/manga/63579/Aizawa-san_Zoushoku,0,0,0," Mizutani Souta is confessed to by the school's famous frail beauty Aizawa Shino. Then came another one of her! And another! And another! Each with different attitudes, but all of them are Aizawa Shino herself. What will this sort-of harem love story come to!?  (Source: Batoto)",5,1,0,0,0
Finished,0,0,7.33,"Shugasuku|Misaki,Jun",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,", Comedy, Ecchi, Romance, Harem",0,0,29402,0,0,0,0,0,0,0,20169,Loli-himesama no Kenkaku Nisshi,https://myanimelist.net/manga/56245/Loli-himesama_no_Kenkaku_Nisshi,0,0,0,,3,0,0,1,0
Finished,0,0,8.67,"Kawaguchi,Tsukasa|Suzukiya16,Gouten",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,", Comedy, Ecchi, Fantasy, Romance, School, Harem",0,0,29566,0,0,0,0,0,0,0,20108,Kono Uchi ni Yuusha-sama Moshiku wa Kyuuseishu-sama wa Irasshaimasenka?!,https://myanimelist.net/manga/55801/Kono_Uchi_ni_Yuusha-sama_Moshiku_wa_Kyuuseishu-sama_wa_Irasshaimasenka,0,0,0,,4,0,0,1,0
Finished,0,0,5.67,"Chiba,Tetsutarou",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,", Hentai, School, Harem",0,0,29628,0,0,0,0,0,0,1,N/A,Jokyoushi Jigoku-hen,https://myanimelist.net/manga/87667/Jokyoushi_Jigoku-hen,0,0,0, 1-5. Jokyoushi Jigoku-hen 6. Totsugeki Roboko-san 7. Dekiru kana? 8. Okashi na Futari (Strange 2 People) 9. Akuma-san 10. Omoshiro Kanojo 11. Chokutsuu Sister Room,1,0,0,0,0
Finished,0,0,5.50,"Shinbo,Tamaran|Takeuchi,Ken",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,35057,0,0,0,0,0,0,1,N/A,Harem Wedding,https://myanimelist.net/manga/60845/Harem_Wedding,0,0,0,,1,0,0,0,0
Finished,0,0,7.00,"Ninoko|Takeuchi,Ken",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,", Fantasy, Hentai, Harem",0,0,35110,0,0,0,0,0,0,1,N/A,Harem Carnival,https://myanimelist.net/manga/71975/Harem_Carnival,0,0,0,,1,0,0,0,0
Finished,0,0,N/A,"Takeuchi,Ken|ZyX|Yamane,Mashiro",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,35095,0,0,0,0,0,0,1,N/A,Ecchi na Bunny-san wa Kirai?,https://myanimelist.net/manga/69267/Ecchi_na_Bunny-san_wa_Kirai,0,0,0," Yukari Fujisawa had no idea what he was signing up for when he started working at the trendiest new restaurant in town, ""Platinum.""  Platinum is a very classy, upscale place, catering to those with plenty of money in their pockets. And the gorgeous women working there all dress in bunny costumes! But these gorgeous girls aren't your average bunny girls -- they're incredibly horny! As Takuya works alongside these sexy girls, they begin to let him know just how exciting they can be. Apparently you need quite the libido to be a bunny girl, and these girls seem to have some really unique desires.  (Source: G-Collections)",1,0,0,0,0
Finished,0,0,10.00,"Oryou|Fukuyama,Harushi",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,", Action, Comedy, Ecchi, Fantasy, Romance, Harem",0,0,33572,0,0,1,0,0,0,0,29993,Watashitachi to Issho nara Sekai Saikyou Ikechaimasu yo?,https://myanimelist.net/manga/108280/Watashitachi_to_Issho_nara_Sekai_Saikyou_Ikechaimasu_yo,0,0,0,,1,0,0,1,0
Finished,0,0,7.00,"Kamitsuki,Manmaru",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,", Comedy, Ecchi, Harem, Seinen",0,0,35271,0,0,0,0,0,1,0,26969,Chika>,https://myanimelist.net/manga/99309/Chika>,0,0,0,,1,0,0,1,0
